word,count
macaque,1.0
stains,1.0
mnh,23.0
radio,1.0
japan,1.0
fine,3.0
birds,4.0
allgemeine,12.0
catalogue,1.0
monkeys,2.0
reptiles,1.0
do,3.0
good,1.0
very,1.0
de,1.0
da,1.0
mufumbiri,1.0
world,1.0
seculo,1.0
deutschland,2.0
scott,2.0
hinged,1.0
em,2.0
set,8.0
samoa,1.0
portuguesa,1.0
arte,1.0
back,1.0
see,3.0
wwf,4.0
gymnastics,1.0
cultura,1.0
zaire,1.0
ausg,12.0
stamps,3.0
new,1.0
sbz,12.0
booklet,1.0
never,1.0
souvenir,3.0
arbeiter,12.0
santo,1.0
marine,1.0
by,1.0
ukraine,1.0
on,1.0
of,14.0
anos,2.0
profissoes,1.0
raptors,1.0
acores,1.0
personagens,1.0
leipzig,1.0
carro,1.0
ussr,1.0
angola,1.0
sheet,1.0
vf,1.0
saxony,2.0
nascimento,1.0
west,2.0
start,1.0
prey,1.0
lot,16.0
laos,1.0
xix,1.0
eagles,1.0
automovel,1.0
life,1.0
eletrico,1.0
fund,1.0
bombeiros,1.0
russian,1.0
with,1.0
spain,1.0
imperf,1.0
b,1.0
arquitetura,1.0
turtles,1.0
value,1.0
wild,1.0
builders,1.0
thuringen,1.0
bridge,1.0
portugal,14.0
artesanato,1.0
uganda,1.0
burundi,4.0
mint,2.0
greenpeace,1.0
centenario,1.0
animal,2.0
vanuatu,1.0
madeirense,1.0
used,1.0
blocks,1.0
escultura,1.0
germany,18.0
sheets,3.0
descobrimentos,1.0
dolphins,1.0
a,2.0
e,3.0
os,1.0
dugong,1.0
deutsche,1.0
antonio,1.0
owls,1.0
vultos,1.0
block,1.0
sets,2.0
dos,2.0
the,1.0
